outer_fold,tree_number,tree_num_leaves,stump_tree,leaf_index,leaf_count,leaf_value,stored_leaf_sum_hessian,stored_leaf_hessian_is_missing,stored_leaf_hessian_is_nonfinite,stored_leaf_hessian_is_negative,stored_leaf_hessian_is_zero,stored_leaf_hessian_is_positive
0,5,28,False,10,13,-0.017228410344267968,4.052083173766731,False,False,False,False,True
0,5,28,False,20,48,-0.009468419807009217,4.078124998137353,False,False,False,False,True
0,5,28,False,26,14,-0.004260944491134305,4.019531249534339,False,False,False,False,True
0,5,28,False,3,2,-0.001800102738400681,2.0000000000000027,False,False,False,False,True
0,5,28,False,27,40,-0.007554707628562733,3.1562499962747097,False,False,False,False,True
0,5,28,False,22,9,0.0028630366259439636,5.019531249534337,False,False,False,False,True
0,5,28,False,25,27,-0.0017356879012910933,6.078124998137355,False,False,False,False,True
0,5,28,False,4,139,-0.013005326580914356,30.566405326128006,False,False,False,False,True
0,5,28,False,13,335,-0.007372153385803015,43.074218368157744,False,False,False,False,True
0,5,28,False,12,2,-0.028612164960605785,1.0065103769302366,False,False,False,False,True
0,5,28,False,24,84,-0.01785187132911809,5.43619770836085,False,False,False,False,True
0,6,27,False,0,57,-0.00906106721289639,11.097656049765645,False,False,False,False,True
0,6,27,False,9,99,-0.00029179093076152715,31.078124998137355,False,False,False,False,True
0,6,27,False,8,423,0.0034450037608454737,104.62499998509884,False,False,False,False,True
0,6,27,False,10,330,-0.00025365253247515765,77.31249995296821,False,False,False,False,True
0,6,27,False,6,28,-0.014649724966217728,5.12369771581143,False,False,False,False,True
0,6,27,False,15,14,-0.0009696663586005936,4.039062499068677,False,False,False,False,True
0,6,27,False,2,85,0.0027054534824614116,47.07161458162591,False,False,False,False,True
0,6,27,False,16,22,-0.004707710683601693,9.03255200339481,False,False,False,False,True
0,6,27,False,11,60,0.005691317770353256,18.045572915580127,False,False,False,False,True
0,6,27,False,19,31,0.013440271947462175,5.026041666045784,False,False,False,False,True
0,6,27,False,5,130,0.0075076830806109504,37.078124998137355,False,False,False,False,True
0,6,27,False,22,74,0.010742603553619274,27.078124998137355,False,False,False,False,True
0,6,27,False,18,31,0.002404724387572078,7.013020833022892,False,False,False,False,True
0,6,27,False,1,33,-0.010033853456650383,3.1497395401820567,False,False,False,False,True
0,6,27,False,25,15,-0.004131764521223326,3.05208333209157,False,False,False,False,True
0,6,27,False,17,84,-0.017446608906276938,6.332031004596505,False,False,False,False,True
0,6,27,False,24,3,-0.025079796539450604,2.01953117037192,False,False,False,False,True
0,6,27,False,21,4,-0.014292602795900057,4.026041507720945,False,False,False,False,True
0,6,27,False,26,136,-0.011173967427343464,3.683593654539436,False,False,False,False,True
0,6,27,False,3,94,-0.004214252195458754,10.188802078831943,False,False,False,False,True
0,6,27,False,14,89,-0.012672820104394085,14.1953121391125,False,False,False,False,True
0,6,27,False,7,187,-0.0010768738929494495,63.33203112334013,False,False,False,False,True
0,6,27,False,13,350,-0.004660995269011116,86.87890579365194,False,False,False,False,True
0,6,27,False,4,28,-0.018502219557335466,6.110676843207332,False,False,False,False,True
0,6,27,False,23,33,-0.012223935881089816,11.169270433485506,False,False,False,False,True
0,6,27,False,12,51,-0.009378561967301208,11.162760333623739,False,False,False,False,True
0,6,27,False,20,33,-0.0027930574330299286,8.078124998137353,False,False,False,False,True
0,7,26,False,0,205,-0.000513299575136882,54.273437374737114,False,False,False,False,True
0,7,26,False,11,10,-0.011236996044130572,6.0455727968364945,False,False,False,False,True
0,7,26,False,9,14,-0.013772945083848968,5.045572757255285,False,False,False,False,True
