model_a,model_a_display_name,model_b,model_b_display_name,subset,subset_label,metric,n_paired,model_a_value,model_b_value,difference_a_minus_b,ci_lower,ci_upper,,Text,,bootstrap_ci_excludes_zero,n_bootstrap_valid,better_direction,effect_in_favor_of_a,observed_better_model,permutation_p_two_sided,permutation_p_two_sided_holm_pair_dataset,significant_permutation_holm_0.05,holm_family_size,n_extreme_permutations,n_valid_permutations,n_permutations_requested,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,roc_auc,3156,0.5,0.76857772,-0.26857772,-0.286515877,-0.249970353,,,,TRUE,10000,higher,-0.26857772,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,classification_only_threshold,Classification-only compounds: threshold-derived,balanced_accuracy,2391,0.5,0.605112312,-0.105112312,-0.120664477,-0.090461791,,,,TRUE,10000,higher,-0.105112312,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,classification_only_threshold,Classification-only compounds: threshold-derived,cohens_kappa,2391,0,0.24615765,-0.24615765,-0.281097591,-0.212958217,,,,TRUE,10000,higher,-0.24615765,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,classification_only_threshold,Classification-only compounds: threshold-derived,mcc,2391,,0.318846873,,,,,,,FALSE,0,higher,,tie,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,classification_only_threshold,Classification-only compounds: threshold-derived,np_f1,2391,,0.376963351,,,,,,,FALSE,0,higher,,tie,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,classification_only_threshold,Classification-only compounds: threshold-derived,np_precision,2391,,0.794117647,,,,,,,FALSE,0,higher,,tie,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,classification_only_threshold,Classification-only compounds: threshold-derived,np_recall,2391,0,0.247139588,-0.247139588,-0.276887864,-0.219679639,,,,TRUE,10000,higher,-0.247139588,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,classification_only_threshold,Classification-only compounds: threshold-derived,np_wrong_side_count,2391,874,658,216,192,242,,,,TRUE,10000,lower,-216,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,classification_only_threshold,Classification-only compounds: threshold-derived,pr_auc_nonpenetrant,2391,0.365801131,0.651122401,-0.28532127,-0.313817616,-0.258481331,,,,TRUE,10000,higher,-0.28532127,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,classification_only_threshold,Classification-only compounds: threshold-derived,roc_auc,2391,0.500360898,0.74294306,-0.242582162,-0.26292685,-0.222086464,,,,TRUE,10000,higher,-0.242582162,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,mae,765,0.579090692,0.363159386,0.215931306,0.188562127,0.24408538,,,,TRUE,10000,lower,-0.215931306,custom_mtl_original,1.00E-04,0.00049995,TRUE,5,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,mse,765,0.544625711,0.235374454,0.309251257,0.27024909,0.350648803,,,,TRUE,10000,lower,-0.309251257,custom_mtl_original,1.00E-04,0.00049995,TRUE,5,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,np_mae,765,1.380799902,0.639378142,0.74142176,0.666304904,0.817148793,,,,TRUE,10000,lower,-0.74142176,custom_mtl_original,1.00E-04,0.00049995,TRUE,5,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,pearson_r,765,-0.018772045,0.754334904,-0.773106949,-0.835688864,-0.711178569,,,,TRUE,10000,higher,-0.773106949,custom_mtl_original,1.00E-04,0.00049995,TRUE,5,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_regression,Measured compounds: regression,r2,765,-0.000198219,0.567737797,-0.567936016,-0.618693747,-0.514971982,,,,TRUE,10000,higher,-0.567936016,custom_mtl_original,1.00E-04,0.00049995,TRUE,5,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_threshold,Measured compounds: threshold-derived,balanced_accuracy,765,0.5,0.664301699,-0.164301699,-0.212491095,-0.11684978,,,,TRUE,10000,higher,-0.164301699,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_threshold,Measured compounds: threshold-derived,cohens_kappa,765,0,0.427004164,-0.427004164,-0.529640019,-0.319273889,,,,TRUE,10000,higher,-0.427004164,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_threshold,Measured compounds: threshold-derived,mcc,765,,0.463217876,,,,,,,FALSE,0,higher,,tie,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_threshold,Measured compounds: threshold-derived,np_f1,765,,0.46875,,,,,,,FALSE,0,higher,,tie,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_threshold,Measured compounds: threshold-derived,np_precision,765,,0.731707317,,,,,,,FALSE,0,higher,,tie,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_threshold,Measured compounds: threshold-derived,np_recall,765,0,0.344827586,-0.344827586,-0.436781615,-0.25287357,,,,TRUE,10000,higher,-0.344827586,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,measured_threshold,Measured compounds: threshold-derived,np_wrong_side_count,765,87,57,30,22,38,,,,TRUE,10000,lower,-30,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
