cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_json
cluster_61,61,Cluster 61: ATSC6c (n=1),ATSC6c,ATSC6c,1,"[""ATSC6c""]"
cluster_62,62,Cluster 62: ATSC6d (n=1),ATSC6d,ATSC6d,1,"[""ATSC6d""]"
cluster_63,63,Cluster 63: ATSC6dv (n=1),ATSC6dv,ATSC6dv,1,"[""ATSC6dv""]"
cluster_64,64,Cluster 64: ATSC6i (n=1),ATSC6i,ATSC6i,1,"[""ATSC6i""]"
cluster_65,65,Cluster 65: ATSC6v (n=2),ATSC6v,ATSC6v,2,"[""ATSC6v"", ""ATSC6p""]"
cluster_66,66,Cluster 66: ATSC7m (n=2),ATSC7m,ATSC7m,2,"[""ATSC7m"", ""ATSC7Z""]"
cluster_67,67,Cluster 67: ATSC7are (n=3),ATSC7are,ATSC7are,3,"[""ATSC7are"", ""ATSC7pe"", ""ATSC7se""]"
cluster_68,68,Cluster 68: ATSC7c (n=1),ATSC7c,ATSC7c,1,"[""ATSC7c""]"
cluster_69,69,Cluster 69: ATSC7d (n=1),ATSC7d,ATSC7d,1,"[""ATSC7d""]"
cluster_70,70,Cluster 70: ATSC7dv (n=1),ATSC7dv,ATSC7dv,1,"[""ATSC7dv""]"
cluster_71,71,Cluster 71: ATSC7i (n=1),ATSC7i,ATSC7i,1,"[""ATSC7i""]"
cluster_72,72,Cluster 72: ATSC7v (n=2),ATSC7v,ATSC7v,2,"[""ATSC7v"", ""ATSC7p""]"
cluster_73,73,Cluster 73: ATSC8m (n=2),ATSC8m,ATSC8m,2,"[""ATSC8m"", ""ATSC8Z""]"
cluster_74,74,Cluster 74: ATSC8are (n=3),ATSC8are,ATSC8are,3,"[""ATSC8are"", ""ATSC8pe"", ""ATSC8se""]"
cluster_75,75,Cluster 75: ATSC8c (n=1),ATSC8c,ATSC8c,1,"[""ATSC8c""]"
cluster_76,76,Cluster 76: ATSC8d (n=1),ATSC8d,ATSC8d,1,"[""ATSC8d""]"
cluster_77,77,Cluster 77: ATSC8dv (n=1),ATSC8dv,ATSC8dv,1,"[""ATSC8dv""]"
cluster_78,78,Cluster 78: ATSC8i (n=1),ATSC8i,ATSC8i,1,"[""ATSC8i""]"
cluster_79,79,Cluster 79: ATSC8v (n=2),ATSC8v,ATSC8v,2,"[""ATSC8v"", ""ATSC8p""]"
cluster_80,80,Cluster 80: SIC0 (n=2),SIC0,SIC0,2,"[""SIC0"", ""BIC0""]"
cluster_81,81,Cluster 81: SIC1 (n=3),SIC1,SIC1,3,"[""SIC1"", ""BIC1"", ""CIC1""]"
cluster_82,82,Cluster 82: SIC2 (n=3),SIC2,SIC2,3,"[""SIC2"", ""BIC2"", ""CIC2""]"
cluster_83,83,Cluster 83: SIC3 (n=3),SIC3,SIC3,3,"[""SIC3"", ""CIC3"", ""BIC3""]"
cluster_84,84,Cluster 84: SIC4 (n=6),SIC4,SIC4,6,"[""SIC4"", ""SIC5"", ""CIC4"", ""CIC5"", ""BIC5"", ""BIC4""]"
cluster_85,85,Cluster 85: BalabanJ (n=1),BalabanJ,BalabanJ,1,"[""BalabanJ""]"
cluster_86,86,Cluster 86: StsC (n=5),StsC,StsC,5,"[""StsC"", ""NtsC"", ""nBondsT"", ""ECFP_674"", ""C1SP1""]"
cluster_87,87,Cluster 87: C1SP2 (n=1),C1SP2,C1SP2,1,"[""C1SP2""]"
cluster_88,88,Cluster 88: C1SP3 (n=1),C1SP3,C1SP3,1,"[""C1SP3""]"
cluster_89,89,Cluster 89: MACCS_17 (n=4),MACCS_17,MACCS_17,4,"[""MACCS_17"", ""NtCH"", ""StCH"", ""C2SP1""]"
cluster_90,90,Cluster 90: NaaCH (n=6),NaaCH,NaaCH,6,"[""NaaCH"", ""SaaCH"", ""SlogP_VSA6"", ""VSA_EState6"", ""SMR_VSA7"", ""C2SP2""]"
cluster_91,91,Cluster 91: C2SP3 (n=1),C2SP3,C2SP3,1,"[""C2SP3""]"
cluster_92,92,Cluster 92: C3SP2 (n=1),C3SP2,C3SP2,1,"[""C3SP2""]"
