model,cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,n_outer_folds,n_oof_compounds,pooled_oof_mean_abs_group_shap,fold_mean_mean_abs_group_shap,fold_sd_mean_abs_group_shap,fold_mean_normalized_group_shap,fold_sd_normalized_group_shap,pooled_oof_mean_signed_group_shap,fold_mean_cancellation_fraction,minimum_fold_mean_abs_group_shap,maximum_fold_mean_abs_group_shap,fraction_folds_positive_mean_signed,minimum_cluster_size_used_by_model,maximum_cluster_size_used_by_model,raw_importance_rank_within_model,normalized_importance_rank_within_model
custom_mtl_original,cluster_2302,2302,Cluster 2302: PEOE_VSA12 (n=1),PEOE_VSA12,PEOE_VSA12,1,"[""PEOE_VSA12""]",5,3156,0.00627228138057516,0.006273923346401593,0.004558258311975066,0.004075178968898039,0.0028316830399224054,-0.0002659487641130639,0.0,0.0010918791981806581,0.012252890938855418,0.2,1,1,44,48
custom_mtl_original,cluster_27,27,Cluster 27: ATS5pe (n=46),ATS5pe,ATS5pe,46,"[""ATS5pe"", ""ATS5are"", ""ATS3pe"", ""ATS5se"", ""ATS3are"", ""ATS2se"", ""ATS4pe"", ""ATS2pe"", ""ATS3se"", ""ATS4are"", ""ATS6pe"", ""ATS2are"", ""ATS6se"", ""ATS6are"", ""ATS4se"", ""ATS5d"", ""ATS4d"", ""ATS3v"", ""ATS3p"", ""ATS6d"", ""ATS2i"", ""ATS6i"", ""ATS5i"", ""ATS4p"", ""nBondsKS"", ""ATS4v"", ""ATS2v"", ""ATS2p"", ""ATS5p"", ""ATS3d"", ""ATS2d"", ""ATS3i"", ""ATS4i"", ""ATS7se"", ""ATS5v"", ""ATS7i"", ""ATS7are"", ""ATS7pe"", ""ATS1p"", ""ATS1v"", ""ATS6p"", ""ATS6v"", ""nC"", ""nBondsS"", ""CIC0"", ""nH""]",5,3156,0.0062371045149727765,0.006237206816361243,0.002228135259932675,0.004238339264266959,0.0015349258706864653,-0.000589932115357948,0.5118922182237278,0.003951369929805522,0.009687273831212389,0.0,46,46,45,43
custom_mtl_original,cluster_2161,2161,Cluster 2161: JGT10 (n=2),JGT10,JGT10,2,"[""JGT10"", ""JGI1""]",5,3156,0.006227131791064496,0.0062287067226547855,0.006905219479097615,0.0038429873108442674,0.0040522872136330365,0.0001378827566250463,0.109104297418426,0.0004972905702598935,0.014988298475705887,0.6,2,2,46,58
custom_mtl_original,cluster_2168,2168,Cluster 2168: JGI7 (n=1),JGI7,JGI7,1,"[""JGI7""]",5,3156,0.006098161254124546,0.006099621206721069,0.005036121815352864,0.003904333373371591,0.0029800324173993777,0.0002835950337703983,0.0,0.0009473485195726311,0.012996873151180378,0.6,1,1,47,55
custom_mtl_original,cluster_96,96,Cluster 96: WPSA4 (n=8),WPSA4,WPSA4,8,"[""WPSA4"", ""PPSA2"", ""WPSA2"", ""WPSA3"", ""FPSA2"", ""DPSA2"", ""PPSA4"", ""PPSA3""]",5,3156,0.006095157814017845,0.006095089080264508,0.002767640740000206,0.00401967185105687,0.0014848832142844027,-0.000502547949623429,0.30564800987352525,0.0035371593298567303,0.010368435664996695,0.4,8,8,48,51
custom_mtl_original,cluster_2304,2304,Cluster 2304: PEOE_VSA2 (n=1),PEOE_VSA2,PEOE_VSA2,1,"[""PEOE_VSA2""]",5,3156,0.006074933010183343,0.0060737513202500475,0.004023654093810283,0.004223416069193137,0.002991135476359065,0.0003068400415236276,0.0,0.001916652781569674,0.01041124986691102,0.8,1,1,49,44
custom_mtl_original,cluster_29,29,Cluster 29: ATSC0pe (n=3),ATSC0pe,ATSC0pe,3,"[""ATSC0pe"", ""ATSC0are"", ""ATSC0se""]",5,3156,0.00606888077352859,0.006068040020662348,0.002507503163330386,0.004132159616637765,0.0017850752880797457,0.0003554150951731663,0.24586120080249335,0.0036920442180523537,0.008821211260921207,0.6,3,3,50,46
custom_mtl_original,cluster_24,24,Cluster 24: Sv (n=48),Sv,Sv,48,"[""Sv"", ""ATS1pe"", ""Sp"", ""apol"", ""ATS1are"", ""ATS1se"", ""Spe"", ""ATS0se"", ""Sare"", ""ATS0pe"", ""Sse"", ""VMcGowan"", ""ATS0are"", ""nBonds"", ""ATS1i"", ""TIC5"", ""TIC4"", ""nAtom"", ""TIC3"", ""Si"", ""ATS0v"", ""ATS0i"", ""ATS7d"", ""ATS8d"", ""TIC2"", ""ZMIC0"", ""LabuteASA"", ""ATS8v"", ""ATS8pe"", ""ATS8are"", ""SMR"", ""nHeavyAtom"", ""ATS8p"", ""Xp-1d"", ""ATS8se"", ""TIC1"", ""mZagreb2"", ""ATS7v"", ""Xp-1dv"", ""ATSC0v"", ""ATS7p"", ""WPath"", ""ATS8i"", ""ATS0p"", ""TIC0"", ""ECIndex"", ""bpol"", ""ATSC0i""]",5,3156,0.0060434349410520396,0.006044722728684055,0.0048288472636694646,0.003846802269045627,0.0026102214532208443,-0.00035310061285477666,0.4517008509305535,0.0019804649620427574,0.014027717895184998,0.4,48,48,51,57
custom_mtl_original,cluster_2339,2339,Cluster 2339: TpiPC10 (n=9),TpiPC10,TpiPC10,9,"[""TpiPC10"", ""piPC7"", ""piPC6"", ""piPC8"", ""piPC5"", ""piPC9"", ""piPC4"", ""piPC10"", ""piPC3""]",5,3156,0.0060444644994176065,0.006043549980977107,0.004732769939636309,0.004222266663890028,0.0035351325982654748,-0.0011997490349206722,0.2714623227098947,0.002454645842329932,0.013005855949235201,0.4,9,9,52,45
custom_mtl_original,cluster_2309,2309,Cluster 2309: PEOE_VSA7 (n=1),PEOE_VSA7,PEOE_VSA7,1,"[""PEOE_VSA7""]",5,3156,0.006020055707804758,0.006021154059980779,0.005051139210165623,0.004128871206446301,0.0037482699746464124,-0.00021643241315170376,0.0,0.0025547545924636764,0.014861176607617666,0.6,1,1,53,47
