model,cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,n_outer_folds,n_oof_compounds,pooled_oof_mean_abs_group_shap,fold_mean_mean_abs_group_shap,fold_sd_mean_abs_group_shap,fold_mean_normalized_group_shap,fold_sd_normalized_group_shap,pooled_oof_mean_signed_group_shap,fold_mean_cancellation_fraction,minimum_fold_mean_abs_group_shap,maximum_fold_mean_abs_group_shap,fraction_folds_positive_mean_signed,minimum_cluster_size_used_by_model,maximum_cluster_size_used_by_model,raw_importance_rank_within_model,normalized_importance_rank_within_model
lightgbm_mse_regression,cluster_2298,2298,Cluster 2298: PBF (n=1),PBF,PBF,1,"[""PBF""]",5,3156,0.011815109759763574,0.011817140834902434,0.007512164778275145,0.007765293722882849,0.004880334028175363,-0.0030546575060276335,0.0,0.005407067696659403,0.024757808294472196,0.0,1,1,21,21
lightgbm_mse_regression,cluster_27,27,Cluster 27: ATS5pe (n=46),ATS5pe,ATS5pe,46,"[""ATS5pe"", ""ATS5are"", ""ATS3pe"", ""ATS5se"", ""ATS3are"", ""ATS2se"", ""ATS4pe"", ""ATS2pe"", ""ATS3se"", ""ATS4are"", ""ATS6pe"", ""ATS2are"", ""ATS6se"", ""ATS6are"", ""ATS4se"", ""ATS5d"", ""ATS4d"", ""ATS3v"", ""ATS3p"", ""ATS6d"", ""ATS2i"", ""ATS6i"", ""ATS5i"", ""ATS4p"", ""nBondsKS"", ""ATS4v"", ""ATS2v"", ""ATS2p"", ""ATS5p"", ""ATS3d"", ""ATS2d"", ""ATS3i"", ""ATS4i"", ""ATS7se"", ""ATS5v"", ""ATS7i"", ""ATS7are"", ""ATS7pe"", ""ATS1p"", ""ATS1v"", ""ATS6p"", ""ATS6v"", ""nC"", ""nBondsS"", ""CIC0"", ""nH""]",5,3156,0.011382597766639748,0.011382681759412722,0.003180016994218336,0.007539045341428669,0.002131970931031687,0.0030561265979715292,0.5503090733954309,0.006173492633967574,0.01454898193447448,0.8,46,46,22,22
lightgbm_mse_regression,cluster_3,3,Cluster 3: AATS1d (n=2),AATS1d,AATS1d,2,"[""AATS1d"", ""AATS0d""]",5,3156,0.01137470666416802,0.011375924499469578,0.004871364974090486,0.007440082730172016,0.0029970604593992263,-0.0009706896465114177,0.13588571944781117,0.004786620473892861,0.015388016431085437,0.2,2,2,23,24
lightgbm_mse_regression,cluster_37,37,Cluster 37: ATSC2v (n=2),ATSC2v,ATSC2v,2,"[""ATSC2v"", ""ATSC2p""]",5,3156,0.011339122245086854,0.011340379406392745,0.009471714538648862,0.007485902834404194,0.00618508521730254,0.001488734517854899,0.15136055051970232,0.002243853604735213,0.027311077925930374,0.8,2,2,24,23
lightgbm_mse_regression,cluster_84,84,Cluster 84: SIC4 (n=6),SIC4,SIC4,6,"[""SIC4"", ""SIC5"", ""CIC4"", ""CIC5"", ""BIC5"", ""BIC4""]",5,3156,0.010921597410442657,0.010919655343264924,0.00491852008614582,0.007306249007015269,0.0035175851328078755,-0.00048034997397497156,0.33717691326952026,0.006131802417458886,0.017048819356190292,0.0,6,6,25,25
lightgbm_mse_regression,cluster_32,32,Cluster 32: ATSC2are (n=3),ATSC2are,ATSC2are,3,"[""ATSC2are"", ""ATSC2pe"", ""ATSC2se""]",5,3156,0.010845637276932706,0.010845824024044973,0.0024177087585568707,0.0071798315760830175,0.0016155302757777268,-0.0008871545689315643,0.13008338043336898,0.007323882999419887,0.013982513242735485,0.2,3,3,26,27
lightgbm_mse_regression,cluster_2391,2391,Cluster 2391: nRot (n=1),nRot,nRot,1,"[""nRot""]",5,3156,0.010663432605774507,0.010660272028907274,0.006169869982260537,0.007183586355119722,0.0045161642752800405,0.0012945054578767975,0.0,0.004258953937070471,0.020635052621891442,0.6,1,1,27,26
lightgbm_mse_regression,cluster_42,42,Cluster 42: ATSC3dv (n=1),ATSC3dv,ATSC3dv,1,"[""ATSC3dv""]",5,3156,0.010384807396020563,0.010383182001950127,0.006170857182566299,0.006876293906754034,0.004051765546815177,-0.0016157244396582322,0.0,0.003278873597941271,0.01802720521169062,0.2,1,1,28,28
lightgbm_mse_regression,cluster_98,98,Cluster 98: MOMI-Y (n=8),MOMI-Y,MOMI-Y,8,"[""MOMI-Y"", ""MOMI-X"", ""Diameter"", ""Radius"", ""GeomRadius"", ""GeomDiameter"", ""GGI10"", ""GGI9""]",5,3156,0.010188265318671525,0.010189717040898745,0.0037855176966518815,0.006729496359334511,0.002492853293959105,0.001723415498994644,0.20824692606177453,0.005608081691797053,0.013645992646482967,1.0,8,8,29,29
lightgbm_mse_regression,cluster_29,29,Cluster 29: ATSC0pe (n=3),ATSC0pe,ATSC0pe,3,"[""ATSC0pe"", ""ATSC0are"", ""ATSC0se""]",5,3156,0.010169084342331028,0.01016953873619888,0.001964470521139047,0.006699143586319352,0.0011214450680438349,0.002302456138068184,0.10396054677104631,0.007583081974270247,0.012441292440018546,0.8,3,3,30,30
