scope,cluster_id,cluster_size,algorithmic_medoid,selected_representative,representative_source,mean_pairwise_abs_correlation,minimum_pairwise_abs_correlation,maximum_pairwise_abs_correlation,members_json,medoid_candidate_order_json
final,84,6,SIC4,SIC4,algorithmic_medoid,0.9477392042147608,0.8987430311727463,0.9848864925780014,"[""BIC4"", ""BIC5"", ""CIC4"", ""CIC5"", ""SIC4"", ""SIC5""]","[""SIC4"", ""SIC5"", ""CIC4"", ""CIC5"", ""BIC5"", ""BIC4""]"
final,85,1,BalabanJ,BalabanJ,algorithmic_medoid,1.0,1.0,1.0,"[""BalabanJ""]","[""BalabanJ""]"
final,86,5,StsC,StsC,algorithmic_medoid,0.9465193578056901,0.8808663688478405,0.9997793985401893,"[""C1SP1"", ""ECFP_674"", ""NtsC"", ""StsC"", ""nBondsT""]","[""StsC"", ""NtsC"", ""nBondsT"", ""ECFP_674"", ""C1SP1""]"
final,87,1,C1SP2,C1SP2,algorithmic_medoid,1.0,1.0,1.0,"[""C1SP2""]","[""C1SP2""]"
final,88,1,C1SP3,C1SP3,algorithmic_medoid,1.0,1.0,1.0,"[""C1SP3""]","[""C1SP3""]"
final,89,4,MACCS_17,MACCS_17,algorithmic_medoid,0.8684823395518285,0.8010410607315419,0.9999886115722366,"[""C2SP1"", ""MACCS_17"", ""NtCH"", ""StCH""]","[""MACCS_17"", ""NtCH"", ""StCH"", ""C2SP1""]"
final,90,6,NaaCH,NaaCH,algorithmic_medoid,0.9028243854172985,0.8323389482678578,0.9823050298317589,"[""C2SP2"", ""NaaCH"", ""SMR_VSA7"", ""SaaCH"", ""SlogP_VSA6"", ""VSA_EState6""]","[""NaaCH"", ""SaaCH"", ""SlogP_VSA6"", ""VSA_EState6"", ""SMR_VSA7"", ""C2SP2""]"
final,91,1,C2SP3,C2SP3,algorithmic_medoid,1.0,1.0,1.0,"[""C2SP3""]","[""C2SP3""]"
final,92,1,C3SP2,C3SP2,algorithmic_medoid,1.0,1.0,1.0,"[""C3SP2""]","[""C3SP2""]"
final,93,1,C3SP3,C3SP3,algorithmic_medoid,1.0,1.0,1.0,"[""C3SP3""]","[""C3SP3""]"
final,94,1,C4SP3,C4SP3,algorithmic_medoid,1.0,1.0,1.0,"[""C4SP3""]","[""C4SP3""]"
final,95,3,FPSA1,FPSA1,algorithmic_medoid,0.9485527376948665,0.9230238882920832,0.9981012681070777,"[""DPSA1"", ""FNSA1"", ""FPSA1""]","[""FPSA1"", ""FNSA1"", ""DPSA1""]"
