feature,n_nonmissing,missing_fraction,n_unique_nonmissing,status
ECFP_546,3156,0.0,2,included
ECFP_547,3156,0.0,2,included
ECFP_548,3156,0.0,2,included
ECFP_549,3156,0.0,2,included
ECFP_550,3156,0.0,2,included
ECFP_551,3156,0.0,2,included
ECFP_552,3156,0.0,2,included
ECFP_553,3156,0.0,2,included
ECFP_554,3156,0.0,2,included
ECFP_555,3156,0.0,2,included
ECFP_556,3156,0.0,2,included
ECFP_557,3156,0.0,2,included
ECFP_558,3156,0.0,2,included
ECFP_559,3156,0.0,2,included
ECFP_560,3156,0.0,2,included
ECFP_561,3156,0.0,2,included
ECFP_562,3156,0.0,2,included
ECFP_563,3156,0.0,2,included
ECFP_564,3156,0.0,2,included
ECFP_565,3156,0.0,2,included
ECFP_566,3156,0.0,2,included
ECFP_567,3156,0.0,2,included
ECFP_568,3156,0.0,2,included
ECFP_569,3156,0.0,2,included
ECFP_570,3156,0.0,2,included
ECFP_571,3156,0.0,2,included
ECFP_572,3156,0.0,2,included
ECFP_573,3156,0.0,2,included
ECFP_574,3156,0.0,2,included
ECFP_575,3156,0.0,2,included
ECFP_576,3156,0.0,2,included
ECFP_577,3156,0.0,2,included
ECFP_578,3156,0.0,2,included
ECFP_579,3156,0.0,2,included
ECFP_580,3156,0.0,2,included
ECFP_581,3156,0.0,2,included
ECFP_582,3156,0.0,2,included
ECFP_583,3156,0.0,2,included
ECFP_584,3156,0.0,2,included
ECFP_585,3156,0.0,2,included
ECFP_586,3156,0.0,2,included
ECFP_587,3156,0.0,2,included
ECFP_588,3156,0.0,2,included
ECFP_589,3156,0.0,2,included
ECFP_590,3156,0.0,2,included
ECFP_591,3156,0.0,2,included
ECFP_592,3156,0.0,2,included
ECFP_593,3156,0.0,2,included
ECFP_594,3156,0.0,2,included
ECFP_595,3156,0.0,2,included
ECFP_596,3156,0.0,2,included
ECFP_597,3156,0.0,2,included
ECFP_598,3156,0.0,2,included
ECFP_599,3156,0.0,2,included
ECFP_600,3156,0.0,2,included
ECFP_601,3156,0.0,2,included
ECFP_602,3156,0.0,2,included
ECFP_603,3156,0.0,2,included
ECFP_604,3156,0.0,2,included
ECFP_605,3156,0.0,2,included
ECFP_606,3156,0.0,2,included
ECFP_607,3156,0.0,2,included
ECFP_608,3156,0.0,2,included
ECFP_609,3156,0.0,2,included
ECFP_610,3156,0.0,2,included
ECFP_611,3156,0.0,2,included
ECFP_612,3156,0.0,2,included
ECFP_613,3156,0.0,2,included
ECFP_614,3156,0.0,2,included
ECFP_615,3156,0.0,2,included
ECFP_616,3156,0.0,2,included
ECFP_617,3156,0.0,2,included
ECFP_618,3156,0.0,2,included
ECFP_619,3156,0.0,2,included
ECFP_620,3156,0.0,2,included
ECFP_621,3156,0.0,2,included
ECFP_622,3156,0.0,2,included
ECFP_623,3156,0.0,2,included
ECFP_624,3156,0.0,2,included
ECFP_625,3156,0.0,2,included
ECFP_626,3156,0.0,2,included
ECFP_627,3156,0.0,2,included
ECFP_628,3156,0.0,2,included
ECFP_629,3156,0.0,2,included
ECFP_630,3156,0.0,2,included
ECFP_631,3156,0.0,2,included
ECFP_632,3156,0.0,2,included
ECFP_633,3156,0.0,2,included
ECFP_634,3156,0.0,2,included
ECFP_635,3156,0.0,2,included
ECFP_636,3156,0.0,2,included
ECFP_637,3156,0.0,2,included
ECFP_638,3156,0.0,2,included
ECFP_639,3156,0.0,2,included
ECFP_640,3156,0.0,2,included
ECFP_641,3156,0.0,2,included
ECFP_642,3156,0.0,2,included
ECFP_643,3156,0.0,2,included
ECFP_644,3156,0.0,2,included
ECFP_645,3156,0.0,2,included
ECFP_646,3156,0.0,2,included
ECFP_647,3156,0.0,2,included
ECFP_648,3156,0.0,2,included
ECFP_649,3156,0.0,2,included
ECFP_650,3156,0.0,2,included
ECFP_651,3156,0.0,2,included
ECFP_652,3156,0.0,2,included
ECFP_653,3156,0.0,2,included
ECFP_654,3156,0.0,2,included
ECFP_655,3156,0.0,2,included
ECFP_656,3156,0.0,2,included
ECFP_657,3156,0.0,2,included
ECFP_658,3156,0.0,2,included
ECFP_659,3156,0.0,2,included
ECFP_660,3156,0.0,2,included
ECFP_661,3156,0.0,2,included
ECFP_662,3156,0.0,2,included
ECFP_663,3156,0.0,2,included
ECFP_664,3156,0.0,2,included
ECFP_665,3156,0.0,2,included
ECFP_666,3156,0.0,2,included
ECFP_667,3156,0.0,2,included
ECFP_668,3156,0.0,2,included
ECFP_669,3156,0.0,2,included
ECFP_670,3156,0.0,2,included
ECFP_671,3156,0.0,2,included
ECFP_672,3156,0.0,2,included
ECFP_673,3156,0.0,2,included
ECFP_674,3156,0.0,2,included
