scope,cluster_id,algorithmic_medoid,selected_representative,representative_feature
final,183,ECFP_1014,ECFP_1014,ECFP_1014
final,184,ECFP_1015,ECFP_1015,ECFP_1015
final,185,ECFP_1016,ECFP_1016,ECFP_1016
final,186,ECFP_1017,ECFP_1017,ECFP_1017
final,187,ECFP_1018,ECFP_1018,ECFP_1018
final,188,ECFP_1019,ECFP_1019,ECFP_1019
final,189,ECFP_102,ECFP_102,ECFP_102
final,190,ECFP_1020,ECFP_1020,ECFP_1020
final,191,ECFP_1021,ECFP_1021,ECFP_1021
final,192,ECFP_1022,ECFP_1022,ECFP_1022
final,193,ECFP_1023,ECFP_1023,ECFP_1023
final,194,ECFP_1024,ECFP_1024,ECFP_1024
final,195,ECFP_1025,ECFP_1025,ECFP_1025
final,196,ECFP_1026,ECFP_1026,ECFP_1026
final,197,ECFP_1027,ECFP_1027,ECFP_1027
final,198,ECFP_1028,ECFP_1028,ECFP_1028
final,199,ECFP_1029,ECFP_1029,ECFP_1029
final,200,ECFP_103,ECFP_103,ECFP_103
final,201,ECFP_1030,ECFP_1030,ECFP_1030
final,202,ECFP_1031,ECFP_1031,ECFP_1031
final,203,ECFP_1032,ECFP_1032,ECFP_1032
final,204,ECFP_1033,ECFP_1033,ECFP_1033
final,205,ECFP_1034,ECFP_1034,ECFP_1034
final,206,ECFP_1035,ECFP_1035,ECFP_1035
final,207,ECFP_1036,ECFP_1036,ECFP_1036
final,208,ECFP_1037,ECFP_1037,ECFP_1037
final,209,ECFP_1038,ECFP_1038,ECFP_1038
final,210,ECFP_1039,ECFP_1039,ECFP_1039
final,211,ECFP_104,ECFP_104,ECFP_104
final,212,ECFP_1040,ECFP_1040,ECFP_1040
