scope,cluster_id,cluster_size,medoid_candidate_rank,feature,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,algorithmic_medoid,selected_representative,is_algorithmic_medoid,is_selected_representative,members_json
final,1448,1,1,ECFP_353,0.0,1.0,1.0,1.0,0.0,860,0.006928069226608975,ECFP_353,ECFP_353,True,True,"[""ECFP_353""]"
final,1449,1,1,ECFP_354,0.0,1.0,1.0,1.0,0.0,860,0.02160492157923202,ECFP_354,ECFP_354,True,True,"[""ECFP_354""]"
final,1450,1,1,ECFP_355,0.0,1.0,1.0,1.0,0.0,860,0.009215792320173069,ECFP_355,ECFP_355,True,True,"[""ECFP_355""]"
final,1451,1,1,ECFP_356,0.0,1.0,1.0,1.0,0.0,860,0.006928069226608975,ECFP_356,ECFP_356,True,True,"[""ECFP_356""]"
final,1452,1,1,ECFP_357,0.0,1.0,1.0,1.0,0.0,860,0.009215792320173069,ECFP_357,ECFP_357,True,True,"[""ECFP_357""]"
final,1453,1,1,ECFP_359,0.0,1.0,1.0,1.0,0.0,860,0.024926987560843702,ECFP_359,ECFP_359,True,True,"[""ECFP_359""]"
final,1454,1,1,ECFP_36,0.0,1.0,1.0,1.0,0.0,860,0.003476203353163874,ECFP_36,ECFP_36,True,True,"[""ECFP_36""]"
final,1455,1,1,ECFP_360,0.0,1.0,1.0,1.0,0.0,860,0.0023201730665224434,ECFP_360,ECFP_360,True,True,"[""ECFP_360""]"
final,1456,1,1,ECFP_361,0.0,1.0,1.0,1.0,0.0,860,0.03904137371552191,ECFP_361,ECFP_361,True,True,"[""ECFP_361""]"
final,1457,1,1,ECFP_362,0.0,1.0,1.0,1.0,0.0,860,0.030409680908599246,ECFP_362,ECFP_362,True,True,"[""ECFP_362""]"
final,1458,1,1,ECFP_363,0.0,1.0,1.0,1.0,0.0,860,0.005780151433207135,ECFP_363,ECFP_363,True,True,"[""ECFP_363""]"
final,1459,1,1,ECFP_364,0.0,1.0,1.0,1.0,0.0,860,0.010355597620335314,ECFP_364,ECFP_364,True,True,"[""ECFP_364""]"
final,1460,1,1,ECFP_365,0.0,1.0,1.0,1.0,0.0,860,0.005780151433207137,ECFP_365,ECFP_365,True,True,"[""ECFP_365""]"
final,1461,1,1,ECFP_366,0.0,1.0,1.0,1.0,0.0,860,0.05680908599242833,ECFP_366,ECFP_366,True,True,"[""ECFP_366""]"
final,1462,1,1,ECFP_367,0.0,1.0,1.0,1.0,0.0,860,0.005780151433207137,ECFP_367,ECFP_367,True,True,"[""ECFP_367""]"
final,1463,1,1,ECFP_368,0.0,1.0,1.0,1.0,0.0,860,0.006928069226608975,ECFP_368,ECFP_368,True,True,"[""ECFP_368""]"
final,1464,1,1,ECFP_369,0.0,1.0,1.0,1.0,0.0,860,0.0046295294753921044,ECFP_369,ECFP_369,True,True,"[""ECFP_369""]"
final,1465,1,1,ECFP_37,0.0,1.0,1.0,1.0,0.0,860,0.006928069226608975,ECFP_37,ECFP_37,True,True,"[""ECFP_37""]"
final,1466,1,1,ECFP_370,0.0,1.0,1.0,1.0,0.0,860,0.01825851811790158,ECFP_370,ECFP_370,True,True,"[""ECFP_370""]"
final,1467,1,1,ECFP_371,0.0,1.0,1.0,1.0,0.0,860,0.02271498107084911,ECFP_371,ECFP_371,True,True,"[""ECFP_371""]"
final,1468,1,1,ECFP_372,0.0,1.0,1.0,1.0,0.0,860,0.0011614386154678211,ECFP_372,ECFP_372,True,True,"[""ECFP_372""]"
final,1469,1,1,ECFP_373,0.0,1.0,1.0,1.0,0.0,860,0.009215792320173069,ECFP_373,ECFP_373,True,True,"[""ECFP_373""]"
final,1470,1,1,ECFP_374,0.0,1.0,1.0,1.0,0.0,860,0.0046295294753921044,ECFP_374,ECFP_374,True,True,"[""ECFP_374""]"
final,1471,1,1,ECFP_375,0.0,1.0,1.0,1.0,0.0,860,0.0034762033531638738,ECFP_375,ECFP_375,True,True,"[""ECFP_375""]"
final,1472,1,1,ECFP_376,0.0,1.0,1.0,1.0,0.0,860,0.006928069226608977,ECFP_376,ECFP_376,True,True,"[""ECFP_376""]"
final,1473,1,1,ECFP_377,0.0,1.0,1.0,1.0,0.0,860,0.001161438615467821,ECFP_377,ECFP_377,True,True,"[""ECFP_377""]"
final,1474,3,1,NaaN,0.03325773090154549,0.9667422690984545,0.9372253579735645,0.9962591802233445,0.0,860,0.8258991346673877,NaaN,NaaN,True,True,"[""ECFP_378"", ""NaaN"", ""SaaN""]"
final,1474,3,2,SaaN,0.03501054198554865,0.9649894580144514,0.9337197358055582,0.9962591802233445,0.0,860,13.4596676083204,NaaN,NaaN,False,False,"[""ECFP_378"", ""NaaN"", ""SaaN""]"
final,1474,3,3,ECFP_378,0.06452745311043862,0.9354725468895614,0.9337197358055582,0.9372253579735645,0.0,860,0.20999999999999996,NaaN,NaaN,False,False,"[""ECFP_378"", ""NaaN"", ""SaaN""]"
final,1475,1,1,ECFP_379,0.0,1.0,1.0,1.0,0.0,860,0.006928069226608975,ECFP_379,ECFP_379,True,True,"[""ECFP_379""]"
final,1476,1,1,ECFP_38,0.0,1.0,1.0,1.0,0.0,860,0.009215792320173069,ECFP_38,ECFP_38,True,True,"[""ECFP_38""]"
final,1477,1,1,ECFP_380,0.0,1.0,1.0,1.0,0.0,860,0.00807328285559762,ECFP_380,ECFP_380,True,True,"[""ECFP_380""]"
final,1478,1,1,ECFP_381,0.0,1.0,1.0,1.0,0.0,860,0.028224716062736608,ECFP_381,ECFP_381,True,True,"[""ECFP_381""]"
final,1479,1,1,ECFP_382,0.0,1.0,1.0,1.0,0.0,860,0.001161438615467821,ECFP_382,ECFP_382,True,True,"[""ECFP_382""]"
