scope,cluster_id,cluster_size,feature,algorithmic_medoid,selected_representative,representative_source,is_algorithmic_medoid,is_selected_representative,medoid_candidate_rank,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,members_json
final,4,5,AATS3dv,AATS2dv,AATS2dv,algorithmic_medoid,False,False,2,0.09302836735612208,0.9069716326438779,0.8602505227336409,0.9407967062008106,0.00813953488372093,853,4.609960240864555,"[""AATS0dv"", ""AATS1dv"", ""AATS2dv"", ""AATS3dv"", ""AATS4dv""]"
final,4,5,AATS1dv,AATS2dv,AATS2dv,algorithmic_medoid,False,False,3,0.1067576723907726,0.8932423276092274,0.8748485745929129,0.9167869416901728,0.004651162790697674,856,4.653198243309969,"[""AATS0dv"", ""AATS1dv"", ""AATS2dv"", ""AATS3dv"", ""AATS4dv""]"
final,4,5,AATS4dv,AATS2dv,AATS2dv,algorithmic_medoid,False,False,4,0.11478288474107301,0.885217115258927,0.8255679215984065,0.9407967062008106,0.010465116279069767,851,4.348653598158726,"[""AATS0dv"", ""AATS1dv"", ""AATS2dv"", ""AATS3dv"", ""AATS4dv""]"
final,4,5,AATS0dv,AATS2dv,AATS2dv,algorithmic_medoid,False,False,5,0.12302795966405078,0.8769720403359492,0.8255679215984065,0.9350257525731652,0.0,860,11.8855420867377,"[""AATS0dv"", ""AATS1dv"", ""AATS2dv"", ""AATS3dv"", ""AATS4dv""]"
final,5,4,Mi,Mi,Mi,algorithmic_medoid,True,True,1,0.07607535635656015,0.9239246436434398,0.8873329679999448,0.996223398976767,0.0,860,0.0012649526473107364,"[""AATS0i"", ""AATS1i"", ""AATS2i"", ""Mi""]"
final,5,4,AATS0i,Mi,Mi,algorithmic_medoid,False,False,2,0.07653504154370927,0.9234649584562907,0.8839175160269266,0.996223398976767,0.0,860,150.3617732038295,"[""AATS0i"", ""AATS1i"", ""AATS2i"", ""Mi""]"
final,5,4,AATS2i,Mi,Mi,algorithmic_medoid,False,False,3,0.12768639005346472,0.8723136099465353,0.8393539014744826,0.8902539603651786,0.005813953488372093,855,40.72895710338364,"[""AATS0i"", ""AATS1i"", ""AATS2i"", ""Mi""]"
final,5,4,AATS1i,Mi,Mi,algorithmic_medoid,False,False,4,0.12950367284832776,0.8704963271516722,0.8393539014744826,0.8882175639536076,0.004651162790697674,856,47.0034619814741,"[""AATS0i"", ""AATS1i"", ""AATS2i"", ""Mi""]"
final,6,5,Mp,Mp,Mp,algorithmic_medoid,True,True,1,0.08546548372373286,0.9145345162762671,0.8500268698673681,0.9690234656590703,0.0,860,0.06118427965856404,"[""AATS0p"", ""AATS1p"", ""AATS2p"", ""AATS3p"", ""Mp""]"
final,6,5,AATS2p,Mp,Mp,algorithmic_medoid,False,False,2,0.09050760281637293,0.9094923971836271,0.8883595150554291,0.9350541257164209,0.005813953488372093,855,0.04439199762018194,"[""AATS0p"", ""AATS1p"", ""AATS2p"", ""AATS3p"", ""Mp""]"
